deal_id,pe_firm,platform_name,facility_name,ccn,state,city,address,source_platform_link,source_facility_link,cms_owner_name,cms_affiliated_entity,ownership_effective_date,cms_change_of_ownership_flag,pre_owner_name,pre_owner_effective_end,pre_owner_pe_status,pre_operator_name,post_operator_name,post_owner_pe_status,transition_basis,transition_type,transition_verified,match_quality,verification_tier,verification_notes,analysis_sample,evidence_pathway,current_pe_evidence,pre_period_certainty
PE008,Cascade Capital Group,Legacy Healthcare,Lake Mills Care Center,165366,IA,Lake Mills,"406 South 10th Avenue East, Lake Mills, IA 50450",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165366,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"Strong high-confidence Cascade row. The pre side is ABCM, and the post side is the dated Legacy/Cascade structure beginning in Aug 2024.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Manor House Care Center,165325,IA,Sigourney,"1212 South Stuart Street, Sigourney, IA 52591",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165325,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"Another clean Cascade row. The current CMS-linked page shows the post-Cascade/Legacy structure beginning in Aug 2024, and the older CMS-mirrored page lists ABCM Corporation as the pre-period owner.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Maple Manor Village,165346,IA,Aplington,"345 Parriott Street, Aplington, IA 50604",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165346,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"A clean ABCM-to-Cascade/Legacy transition. The current page shows Iowa Portfolio Opco Holdings LLC and Legacy managerial control since Aug 2024, while the older page lists ABCM Corporation as the pre-period owner.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Nora Springs Care Center,165347,IA,Nora Springs,"907 W Congress, Nora Springs, IA 50458",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165347,No direct owner information on current page; Legacy Healthcare Financial Services LLC managerial control since Aug 2024,Affiliated With Cascade Capital Group,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,operator_change_with_owner_gap,likely_non_pe_to_pe,no,probable,silver,"A strong Cascade candidate. The older CMS-mirrored page lists ABCM Corporation as the pre-period owner, and the current ProPublica page shows Legacy managerial control since Aug 2024, but the current direct-owner fields are blank so I am keeping this below gold for now.",silver_main,chain_deal_plus_facility_match,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Northgate Care Center,165338,IA,Waukon,"960 Fourth Street Nw, Waukon, IA 52172",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165338,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,Another clean ABCM-to-Cascade/Legacy transition with the same dated ownership and managerial-control pattern as the other Iowa facilities.,gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Oakwood Care Center,165365,IA,Clear Lake,"400 Highway 18 West, Clear Lake, IA 50428",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165365,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"The older CMS-mirrored page is explicit that Oakwood Care Center was operated by ABCM Corporation in the pre-period, and the current CMS-linked page shows Iowa Portfolio Opco Holdings LLC with Legacy managerial control since Aug 2024.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Oelwein Health Care Center,165341,IA,Oelwein,"600 Seventh Street Se, Oelwein, IA 50662",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165341,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"The current CMS-linked page shows Legacy managerial control since Aug 2024. Older CMS-mirrored records list ABCM Corporation as the pre-period owner, and the 2024 Cascade transaction specifically covered this Oelwein facility.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Park View Rehabilitation Center,165343,IA,Sac City,"1401 North 14th Street, Sac City, IA 50583",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165343,Iowa Portfolio Opco Holdings LLC; Cascade Capital Partners LLC,Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"Especially useful because the current CMS-linked ownership chain explicitly names Cascade Capital Partners LLC, not just Legacy.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Rehabilitation Center Of Belmond,165380,IA,Belmond,"1107 Seventh Street Ne, Belmond, IA 50421",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165380,Iowa Portfolio Opco Holdings Llc (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services Llc,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Current ProPublica ownership shows Iowa Portfolio Opco Holdings Llc as the direct owner and Legacy Healthcare Financial Services Llc in managerial control since Aug 2024. The 2019 HealthcareComps page identifies Rehabilitation Center of Belmond under ABCM Corporation at the same address and CCN. This is a strong ABCM-to-Cascade/Legacy transition, but it is being added through the silver expansion workflow.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Rehabilitation Centers Of Independence West Campus,165303,IA,Independence,"1610 Third Street Ne, Independence, IA 50644",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165303,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,Current CMS-linked ownership shows Iowa Portfolio Opco Holdings LLC and Legacy managerial control since Aug 2024. The older CMS-mirrored page is explicit that the pre-period facility was ABCM Rehab Centers of Independence West Campus under ABCM Corporation.,gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Rolling Green Village Care Center,165361,IA,Nevada,"100 Sixth Street, Nevada, IA 50201",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165361,Current page emphasizes Legacy managerial control,Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,operator_change_with_owner_gap,likely_non_pe_to_pe,no,probable,silver,"A strong candidate from the ABCM portfolio, but I am keeping it one notch below gold because the current CMS-linked page is thinner on the direct-owner fields than the other Iowa facilities.",silver_main,chain_deal_plus_facility_match,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Valley Vue Care Center,165353,IA,Armstrong,"108 Second Street, Armstrong, IA 50514",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165353,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,This is another clean ABCM-to-Cascade/Legacy transition from the 2024 Iowa portfolio.,gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Westview Care Center,165363,IA,Britt,"445 Eighth Avenue Sw, Britt, IA 50423",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165363,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,This Britt facility follows the same clean ABCM to Cascade/Legacy pattern seen elsewhere in the Iowa portfolio.,gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Westview Of Indianola Care Center,165369,IA,Indianola,"1900 West Third Place, Indianola, IA 50125",https://www.beckershospitalreview.com/post-acute/pe-firm-acquires-29-iowa-nursing-homes-for-85m/,https://projects.propublica.org/nursing-homes/homes/h-165369,Iowa Portfolio Opco Holdings LLC (100%); Indianola IA Property Holdings LLC,Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"The current CMS-linked page directly lists Cascade Capital entities in the indirect ownership chain and Legacy managerial control since Aug 2024. Older CMS-mirrored records list ABCM Corporation as the pre-period owner, so this is one of the clearest non-PE to PE transitions in the file.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Willow Dale Wellness Village,165342,IA,Battle Creek,"404 First Street, Battle Creek, IA 51006",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165342,Iowa Portfolio Opco Holdings LLC; Menachem Shabat,Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"This is another clean ABCM-to-Cascade/Legacy transition. The 2019 CMS-mirrored page lists ABCM Corporation as the pre-period owner, and the current ProPublica page shows the Legacy/Cascade structure beginning in Aug 2024.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE013,Gold FL Trust II,Gold FL Trust II portfolio,Club Healthcare And Rehabilitation Center At The V,106095,FL,The Villages,"16529 Se 86 Th Belle Meade Circle, The Villages, FL 32162",https://projects.propublica.org/nursing-homes/affiliate/a-594,https://projects.propublica.org/nursing-homes/homes/h-106095,The Club Snf Holdco LLC (100%),Affiliated With Gold Fl Trust Ii,Jul 2022,yes,Mulberry Grove NH LLC,before Jul 2022,non_pe,Mulberry Grove NH LLC,No information available,pe,owner_change_trust_holdco_entry,non_pe_to_pe,yes,exact,gold,"Current CMS-linked ownership shows The Club SNF Holdco LLC with Gold FL-related trust entities since Jul 2022. The 2019 CMS-mirrored page identifies the pre-period facility as Club Health and Rehabilitation Center at the Villa under Mulberry Grove NH LLC, with no evident PE marker on the older page.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE013,Gold FL Trust II,Gold FL Trust II portfolio,Cypress Care Center,105649,FL,Wildwood,"490 S Old Wire Rd, Wildwood, FL 34785",https://projects.propublica.org/nursing-homes/affiliate/a-594,https://projects.propublica.org/nursing-homes/homes/h-105649,Arbor Nursing Holdco LLC (100%),Affiliated With Gold Fl Trust Ii,Jul 2022,yes,Old Wire Road Care Inc,before Jul 2022,non_pe,Dwayne Graham,No information available,pe,owner_change_trust_holdco_entry,non_pe_to_pe,yes,exact,gold,"Current CMS-linked ownership shows Arbor Nursing Holdco LLC since Mar 2022 with Fl Master Opco Holdco LLC and Fl SNF Trust I/II entering since Jul 2022 on a page affiliated with Gold FL Trust Ii. The 2019 CMS-mirrored page identifies the same CCN and address under Old Wire Road Care Inc. with Michael Bleich in the ownership structure, making this a defensible local-owner to Gold FL trust-holdco transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE013,Gold FL Trust II,Gold FL Trust II portfolio,North Lake Care Center And Rehab,105640,FL,Lake Park,"750 Bayberry Drive, Lake Park, FL 33403",https://projects.propublica.org/nursing-homes/affiliate/a-594,https://projects.propublica.org/nursing-homes/homes/h-105640,North Lake Nursing Holdco LLC (100%),Affiliated With Gold Fl Trust Ii,Jul 2022,yes,North Lake Facility Inc.,before Jul 2022,non_pe,North Lake Facility Inc.,No information available,pe,owner_change_trust_holdco_entry,non_pe_to_pe,yes,exact,gold,"Current CMS-linked ownership shows North Lake Nursing Holdco LLC since Mar 2022 with Fl Master Opco Holdco LLC and Fl SNF Trust I/II entering since Jul 2022. The 2019 CMS-mirrored page identifies the same CCN and address under North Lake Facility Inc. with a localized owner-control structure, making this a clean local-operator to Gold FL trust-holdco transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE013,Gold FL Trust II,Gold FL Trust II portfolio,Palms Care Center And Rehab,105336,FL,Lauderdale Lakes,"3370 Nw 47 Th Terrace, Lauderdale Lakes, FL 33319",https://projects.propublica.org/nursing-homes/affiliate/a-594,https://projects.propublica.org/nursing-homes/homes/h-105336,Palms Nursing Holdco LLC (100%),Affiliated With Gold Fl Trust Ii,Aug 2023,yes,Palms Facility Inc.,before Aug 2023,non_pe,Palms Facility Inc.,No information available,pe,owner_change_trust_holdco_entry,non_pe_to_pe,yes,exact,gold,"Current CMS-linked ownership shows Palms Nursing Holdco LLC with Fl Master Opco Holdco II LLC, Fl SNF Trust I, and Fl SNF Trust II entering since Aug 2023. The 2019 CMS-mirrored page shows the same facility under Palms Facility Inc., making this a clean pre-period local operator to trust-holdco transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE013,Gold FL Trust II,Gold FL Trust II portfolio,Ridgecrest Healthcare And Rehabilitation Center,106061,FL,Deland,"1200 North Stone Street, Deland, FL 32720",https://projects.propublica.org/nursing-homes/affiliate/a-594,https://projects.propublica.org/nursing-homes/homes/h-106061,Ridgecrest Nursing And Rehab Holdco LLC (100%),Affiliated With Gold Fl Trust Ii,post-2019 current structure visible,yes,"Ridgecrest NH, LLC / Greystone Healthcare-linked structure",before current Gold FL period,unknown,Greystone Healthcare Management Corp,No information available,pe,owner_change_with_possible_prior_investment_chain,unclear,no,probable,silver,"The current CMS-linked page clearly places the facility in the Gold FL trust structure, but the 2019 page shows Greystone-linked ownership and management. Because the prior structure may already have been financially complex, this row stays below the verified treatment set.",silver_unclear,chain_deal_plus_facility_match,facility_cms_direct,likely_pe_or_financialized
PE013,Gold FL Trust II,Gold FL Trust II portfolio,South Campus Care Center And Rehab,105375,FL,Leesburg,"715 E Dixie Ave, Leesburg, FL 34748",https://projects.propublica.org/nursing-homes/affiliate/a-594,https://projects.propublica.org/nursing-homes/homes/h-105375,South Campus Nursing Holdco LLC (100%),Affiliated With Gold Fl Trust Ii,Jul 2022,yes,NCRNC Inc.,before Jul 2022,non_pe,NCRNC Inc.,No information available,pe,owner_change_trust_holdco_entry,non_pe_to_pe,yes,exact,gold,"Current CMS-linked ownership shows South Campus Nursing Holdco LLC and Fl SNF Trust I/II entering since Jul 2022. The 2019 CMS-mirrored page shows the pre-period facility under NCRNC Inc., making this a usable pre-to-post ownership transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE013,Gold FL Trust II,Gold FL Trust II portfolio,"Villages Healthcare And Rehabilitation Center, The",106099,FL,Lady Lake,"900 Highway 466, Lady Lake, FL 32159",https://projects.propublica.org/nursing-homes/affiliate/a-594,https://projects.propublica.org/nursing-homes/homes/h-106099,The Villages Nursing And Rehab Holdco LLC (100%),Affiliated With Gold Fl Trust Ii,Dec 2023,yes,DBI Health Inc.,before Dec 2023,non_pe,DBI Health Inc.,No information available,pe,owner_change_trust_holdco_entry,non_pe_to_pe,yes,exact,gold,"Current CMS-linked ownership shows The Villages Nursing And Rehab Holdco LLC with Copper FL Trust II, Fl Master Opco Holdco LLC, Gold FL Trust II, and Silver FL Trust II entering since Dec 2023. The 2019 CMS-mirrored page identifies the pre-period facility under DBI Health Inc. and Deborah Brazill, making this a defensible non-PE to PE trust-holdco transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE013,Gold FL Trust II,Gold FL Trust II portfolio,Williston Care Center And Rehab,105467,FL,Williston,"300 Nw 1 St Ave, Williston, FL 32696",https://projects.propublica.org/nursing-homes/affiliate/a-594,https://projects.propublica.org/nursing-homes/homes/h-105467,Williston Nursing Holdco LLC (100%),Affiliated With Gold Fl Trust Ii,Aug 2023,yes,Williston Facility Inc.,before Aug 2023,non_pe,Michael Bleich,No information available,pe,owner_change_trust_holdco_entry,non_pe_to_pe,yes,probable,gold,"The current CMS-linked ProPublica ownership listing places the facility in the Gold FL trust structure, and the ProPublica search preview for the same facility shows Williston Nursing Holdco LLC with Fl Master Opco Holdco II LLC and Fl SNF Trust I/II since Aug 2023. The 2019 CMS-mirrored page identifies the same CCN and address under Williston Facility Inc. with 1st Avenue Care Inc and Michael Bleich in the pre-period ownership structure, making this a usable local-owner to Gold FL trust-holdco transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE014,International Equity Partners,Cypress Healthcare Group,Fair Oaks Healthcare Center,555153,CA,Fair Oaks,"11300 Fair Oaks Blvd, Fair Oaks, CA 95628",https://oag.ca.gov/node/572748,https://projects.propublica.org/nursing-homes/homes/h-555153,Cypress Healthcare Group LLC (100%),Affiliated With Cypress Healthcare Group,Sep 2023,yes,Eskaton Properties Incorporated,before Sep 2023,non_pe,Eskaton Properties Incorporated,Cypress Healthcare Group LLC / Jack Sanofsky,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Current CMS-linked ownership shows Cypress Healthcare Group LLC as the direct owner and Cypress Healthcare Group affiliation since Sep 2023. California AG materials identify the same facility in Eskaton Properties Incorporated's 2023 sale to International Equity Partners with Cypress as the operator, and the 2019 CMS-mirrored page identifies Eskaton Properties Incorporated as the nonprofit pre-period owner. This is a strong nonprofit-to-investor/operator transition, but it remains below the verified treatment set because IEP is described publicly as an independent investment management firm specializing in control structured investments rather than explicitly as a PE firm.",silver_unclear,chain_deal_plus_facility_match,facility_cms_direct,clear_non_pe
PE014,International Equity Partners,Cypress Healthcare Group,Greenhaven Healthcare Center,555098,CA,Sacramento,"455 Florin Road, Sacramento, CA 95831",https://oag.ca.gov/node/572748,https://projects.propublica.org/nursing-homes/homes/h-555098,Cypress Healthcare Group LLC (100%),Affiliated With Cypress Healthcare Group,Sep 2023,yes,Eskaton Properties Incorporated,before Sep 2023,non_pe,Eskaton Properties Incorporated,Cypress Healthcare Group LLC / Jack Sanofsky,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Current CMS-linked ownership shows Cypress Healthcare Group LLC as the direct owner and Cypress Healthcare Group affiliation since Sep 2023. California AG materials identify the same facility in Eskaton Properties Incorporated's 2023 sale to International Equity Partners with Cypress as the operator, and ownership-history material shows Eskaton Properties Incorporated as the pre-period owner/operator. The takeover is real and the pre-period nonprofit seller is clean, but this row remains below the verified treatment set because the PE characterization of IEP is still inferential rather than explicit in the public source trail.",silver_unclear,chain_deal_plus_facility_match,facility_cms_direct,clear_non_pe
PE014,International Equity Partners,Cypress Healthcare Group,Manzanita Healthcare Center,555083,CA,Carmichael,"5318 Manzanita Avenue, Carmichael, CA 95608",https://oag.ca.gov/node/572748,https://projects.propublica.org/nursing-homes/homes/h-555083,Cypress Healthcare Group LLC (100%),Affiliated With Cypress Healthcare Group,Sep 2023,yes,Eskaton Properties Incorporated,before Sep 2023,non_pe,Eskaton Properties Incorporated,Cypress Healthcare Group LLC / Jack Sanofsky,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Current CMS-linked ownership shows Cypress Healthcare Group LLC as the direct owner and Cypress Healthcare Group affiliation since Sep 2023. California AG materials identify the same facility in Eskaton Properties Incorporated's 2023 sale to International Equity Partners with Cypress as the operator, and the older CMS-mirrored page identifies Eskaton Properties Incorporated as the pre-period owner/operator. This is a credible nonprofit-to-investor/operator transition, but it remains below the verified treatment set because IEP is described publicly as an investment-management control buyer rather than explicitly as a PE firm.",silver_unclear,chain_deal_plus_facility_match,facility_cms_direct,clear_non_pe
PE015,Pacifica Companies,RHF California retirement communities,Auburn Ravine Healthcare Center,555645,CA,Auburn,"750 Auburn Ravine Road, Auburn, CA 95603",https://oag.ca.gov/news/press-releases/attorney-general-bonta-conditionally-approves-sale-four-retirement-communities,https://projects.propublica.org/nursing-homes/homes/h-555645,Cypress Healthcare Group LLC (100%),Affiliated With Cypress Healthcare Group,Feb 2024,yes,Retirement Housing Foundation / Auburn Ravine Terrace,before Feb 2024,non_pe,Retirement Housing Foundation,Glockston LLC / Cypress Healthcare Group LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"Current CMS-linked ownership shows Auburn Ravine Healthcare Center under Cypress Healthcare Group LLC with managerial control beginning in Feb 2024. California AG sale materials identify Auburn Ravine Terrace as one of the RHF communities sold to Pacifica Companies, and a related AG operator letter ties Glockston LLC and Cypress Healthcare Group LLC to the Auburn SNF operating structure. Because Pacifica is publicly described as a private equity buyer and the pre-period owner was nonprofit RHF, this is a defensible non-PE to PE transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE015,Pacifica Companies,RHF California retirement communities,Bixby Towers Post-Acute Rehab,056283,CA,Long Beach,"3747 Atlantic Ave, Long Beach, CA 90807",https://oag.ca.gov/news/press-releases/attorney-general-bonta-conditionally-approves-sale-four-retirement-communities,https://projects.propublica.org/nursing-homes/homes/h-056283,Jacaranda Healthcare Group LLC (100%),Affiliated With Aspen Skilled Healthcare,Jun 2023,yes,Retirement Housing Foundation / Bixby Knolls Towers,before Jun 2023,non_pe,Retirement Housing Foundation,ASLB LLC / Jacaranda Healthcare Group LLC / Aspen Skilled Healthcare Inc / Stephen Thompson,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"Current ProPublica ownership now shows Bixby Towers Post Acute Rehab with Jacaranda Healthcare Group LLC as the direct owner since Jun 2023, Aspen Skilled Healthcare Inc as an indirect owner since Nov 2022, and Stephen Thompson in managerial control since Feb 2024. California AG sale materials place Bixby Knolls Towers in RHF's sale to Pacifica Companies, and the AG designee/operator table identifies Atlantic Ave Holdings as the sale designee with the Bixby SNF operator structure later amended into ASLB/Aspen. Because Pacifica is explicitly described as a private equity buyer and the current CMS-linked ownership chain aligns with the buyer-side entities, this is a defensible non-PE to PE transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE015,Pacifica Companies,RHF California retirement communities,Pioneer House,555542,CA,Sacramento,"415 P Street, Sacramento, CA 95814",https://oag.ca.gov/news/press-releases/attorney-general-bonta-conditionally-approves-sale-four-retirement-communities,https://nursinghomereport.org/ownership.php?provnum=555542,Cypress Healthcare Group LLC (100%),Current CMS-derived ownership reporting identifies Alister LLC as the legal business name and Cypress Healthcare Group LLC as the direct owner with operational control since Jun 2023,Jun 2023,yes,Retirement Housing Foundation,before Jun 2023,non_pe,Retirement Housing Foundation,Alister LLC / Cypress Healthcare Group LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,probable,gold,"California AG sale materials place Pioneer House in RHF's sale to Pacifica Companies and identify P Street Holdings as the sale designee and Alister LLC as the buyer-side SNF operator. Current CMS-derived ownership reporting consistently ties the facility to Alister LLC and Cypress Healthcare Group LLC with operational control since Jun 2023. This is a defensible non-PE to PE transition, but it remains silver rather than gold because the post-period ownership trail is being recovered through consistent CMS-derived secondary ownership pages rather than a clean current ProPublica ownership tab.",gold_main,facility_public_current_plus_prehistory,secondary_cms_derived,clear_non_pe
PE016,Pacifica Companies,California-Nevada Methodist Homes SNFs,Lake Park Healthcare Center,555113,CA,Oakland,"1850 Alice Street, Oakland, CA 94612",https://oag.ca.gov/news/press-releases/attorney-general-bonta-conditionally-approves-sale-california-nevada-methodist,https://projects.propublica.org/nursing-homes/homes/h-555113,"Aoas, LLC (100%)",Affiliated With Aspen Skilled Healthcare,Sep 2023,yes,California-Nevada Methodist Homes / Lake Park Retirement Residence,before Sep 2023,non_pe,California-Nevada Methodist Homes,"Aoas, LLC / Aspen Skilled Healthcare INC / Sequoia Healthcare Group LLC",pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"California AG materials identify Pacifica Companies LLC as the buyer of California-Nevada Methodist Homes, a nonprofit operator whose Lake Park campus included a 35-bed skilled nursing facility in Oakland. The current ProPublica page for Lake Park Healthcare Center shows Aoas, LLC as direct owner with Aspen Skilled Healthcare and Sequoia Healthcare Group in the ownership chain since Sep 2023. Because Pacifica is publicly described as a private equity buyer and the current facility ownership bridges into the known Pacifica/Aspen California network, this is a strong silver_main row.",silver_main,chain_deal_plus_facility_match,chain_owner_match,clear_non_pe
